college_slno,college_name,course_slno,course_info
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.17,Climate Science GEO1MN101 - Weather and Climate Change [Geography 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.18,Disaster Management GEO1MN102 - Introduction to Disaster Management [Geography 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.19,Human Physiology I PSG1MN101 - Basics in cellular physiology [Human Physiology 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.2,Human Physiology minor
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.21,Islamic Studies - Group I ISL1MN101 - Exploring Art Forms of Islam [Islamic Studies 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.22,Islamic Studies - Group II
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.23,Analytics for Financial Data
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.24,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.26,Energy Physics PHY1MN105 - Non-Conventional Energy Sources [Physics 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.27,Development and Wellbeing PSY1MN102 - Growth and Development [Psychology 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.28,Foundations of Behaviour PSY1MN101 - Gateways to Mind and Behaviour [Psychology 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.29,STA1MN105 - Descriptive Statistics [Statistics 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.1,A1: Entrepreneurial Finance COM1MN101 - Fundamentals of Entrepreneurship [Commerce 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.2,A2: Entrepreneurial Leadership COM1MN102 - Entrepreneurial Marketing [Commerce 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.3,B1: Financial Reporting
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.4,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.5,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.6,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.7,Artificial Intelligence
